Date : 2026-05-31 09:16:57
Directory : /home/developer/projects/open-navigator
Total : 1886 files,  -6270 codes, -2355 comments, -1547 blanks, all -10172 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| frontend/public/wikimedia/outlines                                                                                                                       |         55 |       -220 |          0 |        -55 |       -275 |
| frontend/src                                                                                                                                             |        104 |    -35,873 |     -2,144 |     -2,327 |    -40,344 |
| frontend/src (Files)                                                                                                                                     |          4 |       -925 |        -24 |        -52 |     -1,001 |
| frontend/src/api                                                                                                                                         |          4 |       -429 |        -14 |        -47 |       -490 |
| frontend/src/components                                                                                                                                  |         26 |     -5,709 |       -422 |       -407 |     -6,538 |
| frontend/src/contexts                                                                                                                                    |          2 |       -199 |        -16 |        -38 |       -253 |
| frontend/src/data                                                                                                                                        |          5 |     -1,062 |         -9 |        -52 |     -1,123 |
| frontend/src/hooks                                                                                                                                       |          2 |        -63 |        -25 |        -14 |       -102 |
| frontend/src/lib                                                                                                                                         |          3 |     -1,279 |       -433 |        -30 |     -1,742 |
| frontend/src/pages                                                                                                                                       |         35 |    -23,552 |       -807 |     -1,386 |    -25,745 |
| frontend/src/pages (Files)                                                                                                                               |         32 |    -19,920 |       -774 |     -1,212 |    -21,906 |
| frontend/src/pages/jurisdiction-quality                                                                                                                  |          3 |     -3,632 |        -33 |       -174 |     -3,839 |
| frontend/src/utils                                                                                                                                       |         23 |     -2,655 |       -394 |       -301 |     -3,350 |
| notebooks                                                                                                                                                |          2 |       -177 |       -227 |       -116 |       -520 |
| output                                                                                                                                                   |          3 |       -496 |          0 |        -62 |       -558 |
| output (Files)                                                                                                                                           |          2 |        -92 |          0 |        -62 |       -154 |
| output/tuscaloosa                                                                                                                                        |          1 |       -404 |          0 |          0 |       -404 |
| packages                                                                                                                                                 |        412 |     54,812 |     11,148 |      9,936 |     75,896 |
| packages/core-lib                                                                                                                                        |          2 |         16 |          8 |          6 |         30 |
| packages/core-lib/src                                                                                                                                    |          2 |         16 |          8 |          6 |         30 |
| packages/core-lib/src/core_lib                                                                                                                           |          2 |         16 |          8 |          6 |         30 |
| packages/core-lib/src/core_lib/db                                                                                                                        |          2 |         16 |          8 |          6 |         30 |
| packages/hosting                                                                                                                                         |        139 |      9,328 |      2,455 |      2,093 |     13,876 |
| packages/hosting/scripts                                                                                                                                 |        115 |      5,694 |      1,497 |      1,207 |      8,398 |
| packages/hosting/scripts/huggingface                                                                                                                     |          8 |        806 |        113 |        150 |      1,069 |
| packages/hosting/scripts/neon                                                                                                                            |        107 |      4,888 |      1,384 |      1,057 |      7,329 |
| packages/hosting/scripts/neon (Files)                                                                                                                    |          7 |        527 |        117 |        105 |        749 |
| packages/hosting/scripts/neon/migrations                                                                                                                 |        100 |      4,361 |      1,267 |        952 |      6,580 |
| packages/hosting/src                                                                                                                                     |         23 |      3,556 |        950 |        857 |      5,363 |
| packages/hosting/src/hosting                                                                                                                             |         23 |      3,556 |        950 |        857 |      5,363 |
| packages/hosting/src/hosting (Files)                                                                                                                     |          1 |          1 |          7 |          2 |         10 |
| packages/hosting/src/hosting/huggingface                                                                                                                 |          9 |      1,057 |        234 |        247 |      1,538 |
| packages/hosting/src/hosting/neon                                                                                                                        |         13 |      2,498 |        709 |        608 |      3,815 |
| packages/hosting/tests                                                                                                                                   |          1 |         78 |          8 |         29 |        115 |
| packages/ingestion                                                                                                                                       |         46 |      7,141 |      3,094 |      1,626 |     11,861 |
| packages/ingestion/src                                                                                                                                   |         44 |      7,298 |      3,100 |      1,664 |     12,062 |
| packages/ingestion/src/ingestion                                                                                                                         |         44 |      7,298 |      3,100 |      1,664 |     12,062 |
| packages/ingestion/src/ingestion (Files)                                                                                                                 |          1 |        274 |         75 |          7 |        356 |
| packages/ingestion/src/ingestion/cdp                                                                                                                     |          3 |        380 |        143 |         76 |        599 |
| packages/ingestion/src/ingestion/census                                                                                                                  |          7 |      1,433 |        357 |        246 |      2,036 |
| packages/ingestion/src/ingestion/givingtuesday                                                                                                           |          3 |        557 |        272 |        124 |        953 |
| packages/ingestion/src/ingestion/openstates                                                                                                              |         12 |      1,892 |      1,319 |        404 |      3,615 |
| packages/ingestion/src/ingestion/osf                                                                                                                     |          1 |          4 |          7 |          2 |         13 |
| packages/ingestion/src/ingestion/publication                                                                                                             |         16 |      2,594 |        824 |        779 |      4,197 |
| packages/ingestion/src/ingestion/publication (Files)                                                                                                     |          1 |          0 |          4 |          1 |          5 |
| packages/ingestion/src/ingestion/publication/gold                                                                                                        |         15 |      2,594 |        820 |        778 |      4,192 |
| packages/ingestion/src/ingestion/youtube                                                                                                                 |          1 |        164 |        103 |         26 |        293 |
| packages/ingestion/tests                                                                                                                                 |          2 |       -157 |         -6 |        -38 |       -201 |
| packages/llm                                                                                                                                             |         76 |     28,208 |      3,732 |      3,953 |     35,893 |
| packages/llm/src                                                                                                                                         |         76 |     28,208 |      3,732 |      3,953 |     35,893 |
| packages/llm/src/llm                                                                                                                                     |         76 |     28,208 |      3,732 |      3,953 |     35,893 |
| packages/llm/src/llm (Files)                                                                                                                             |          1 |          0 |          1 |          1 |          2 |
| packages/llm/src/llm/enrichment                                                                                                                          |         14 |      3,497 |        749 |        781 |      5,027 |
